genome,gene,confidence,level,pred_product,truth_product,correct
HK97,gene_eaf4473ebdc0,0.95,high,crossover junction endodeoxyribonuclease rusa,RusA family crossover junction endodeoxyribonuclease,1
HK97,gene_2c63e24c02f8,1.0,high,antitermination protein q,antitermination protein,1
HK97,gene_42482caf546b,0.9,high,antiholin,holin/anti-holin,0
HK97,gene_f497323a1fce,1.0,high,endolysin,endolysin,1
HK97,gene_c8d928242c22,0.8608,high,spanin,Rz-like spanin,1
HK97,gene_c81592575548,0.35,low,Lipoprotein,HNH endonuclease,0
HK97,gene_800f06c7e836,0.6,moderate,protein ninh,protein ninH,1
MS2,gene_3bf42b505571,1.0,high,maturation protein a,head maturation protease,1
MS2,gene_f444063e343f,1.0,high,capsid protein,head protein,0
MS2,gene_763c6b90014e,0.9598,high,rna-directed rna polymerase beta chain,RNA replicase beta subunit,0
Mu,gene_2fcdba11da82,0.95,high,gema protein,regulatory protein GemA,1
Mu,gene_ac22b0c22b35,0.897,high,negative regulator of transcription,transcriptional repressor,0
Mu,gene_77e1c814182f,0.6964,moderate,sar-endolysin,endolysin,1
Mu,gene_f07297e9501a,0.95,high,releasin protein,DUF2730 family protein,0
Mu,gene_19a05dedc66f,1.0,high,dde-recombinase a,Mu transposase C-terminal domain-containing protein,0
Mu,gene_fb1febd4b434,0.95,high,portal protein,portal protein,1
Mu,gene_d1a867b01c2e,0.95,high,repressor protein c,transcriptional repressor,1
Mu,gene_c940cea299a5,0.95,high,middle operon regulator,late transcriptional activator,0
Mu,gene_f163bbc3d71c,0.95,high,capsid assembly protein g,tail completion or Neck1 protein,0
Mu,gene_e0bd5c6cb771,1.0,high,tail terminator protein,portal protein,0
Mu,gene_c9071216f4f4,0.95,high,spanin,Rz-like spanin,1
Mu,gene_9b89a8a40fb4,1.0,high,atp-dependent target dna activator b,DNA transposition protein,0
Mu,gene_f4c2279770db,0.7805,moderate,major capsid protein,major head protein,0
Mu,gene_3e2e0093fe67,0.95,high,dna ends protecting protein gam,host nuclease inhibitor,0
Mu,gene_eb746c1b8cec,0.95,high,late transcription activator c,late transcriptional activator,1
Mu,gene_b27551f6de92,0.95,high,gene product j,head-tail adaptor,0
Mu,gene_e97742dd2ebc,0.95,high,terminase,terminase small subunit,1
Mu,gene_e2b6accca530,0.95,high,protease i,head maturation protease,1
Mu,gene_1c4cbc5c1e0b,0.95,high,protein kil,Kil protein for bacterial septation inhibition,1
Mu,gene_a5b7b8cbc0dd,0.95,high,capsid assembly protein f,minor head protein and DNA pilot,0
Mu,gene_3beddaeb8df1,0.95,high,sheath terminator protein,DUF2635 domain-containing protein,0
Mu,gene_707ae1113659,1.0,high,tail sheath protein,tail sheath,1
Mu,gene_424aa6e8c387,1.0,high,tail tube protein,tail tube protein,1
Mu,gene_01da8ed3ec81,1.0,high,tail assembly protein gp41,tail assembly chaperone,1
Mu,gene_b5d3687e54a7,0.95,high,tape measure protein,tail length tape measure protein,1
Mu,gene_2abc84433dbe,0.6634,moderate,dna circularization protein n,DNA circularization N-terminal domain-containing protein,1
Mu,gene_b6c2eacf7a9b,0.95,high,baseplate hub protein gp44,baseplate hub,1
Mu,gene_849a01a0d9f0,0.95,high,baseplate protein gp46,baseplate wedge subunit,0
Mu,gene_33801b0b18cb,1.0,high,baseplate protein gp47,baseplate protein,1
Mu,gene_62396018da3c,0.95,high,baseplate protein gp48,baseplate wedge subunit,0
Mu,gene_881c0a1c14e2,0.7596,moderate,tail fiber protein s,tail fiber protein,1
Mu,gene_33b7bb927f8b,1.0,high,tail fiber assembly protein u,tail fiber assembly protein,1
Mu,gene_d3f5f777cde5,1.0,high,tail fiber assembly protein u',tail fiber assembly protein,1
Mu,gene_7a93c799f9c5,0.7558,moderate,tail fiber protein s',tail fiber protein,1
Mu,gene_83e497432caa,1.0,high,serine recombinase gin,DNA invertase,0
Mu,gene_5e17c2a0b5e6,1.0,high,methylcarbamoylase mom,Mom-like DNA modification protein,0
N4,gene_2190d91cef9a,0.95,high,gene product 8,gp8,0
N4,gene_0de47e5353e9,0.35,low,Lipoprotein,lipoprotein,1
N4,gene_9402c30e5e8f,0.536,moderate,superinfection exclusion protein,superinfection exclusion,1
N4,gene_e93547f56c6e,0.386,low,dctp deaminase,dCTP deaminase,1
N4,gene_bbd3368e5e00,0.35,low,ATP/GTP binding protein,HNH endonuclease,0
N4,gene_0ece739dcfac,0.35,low,ATP/GTP binding protein,DNA helicase,0
N4,gene_ac3d6562fc6a,0.35,low,Lipoprotein,DNA primase,0
N4,gene_5fd2d635889c,0.344,low,thoeris anti-defense 2,DUF2829 domain-containing protein,0
N4,gene_a9a0f2ae871e,0.35,low,ATP/GTP binding protein,Sak4-like ssDNA annealing protein,0
N4,gene_bc1f1716bd9f,0.95,high,portal protein,portal protein,1
N4,gene_0f5bd4bcd4a6,1.0,high,virion dna-directed rna polymerase,virion RNA polymerase,1
N4,gene_b129511da7e0,1.0,high,non-contractile tail sheath,tail sheath and receptor binding protein,0
P22,gene_36da9d247d27,0.95,high,transcriptional repressor arc,Arc-like repressor,1
P22,gene_13dc84f1be4a,0.95,high,excisionase,excisionase,1
P22,gene_6c258318cd8a,0.9197,high,tail needle protein gp26,tail needle protein,1
P22,gene_389c7a68a507,1.0,high,portal protein,portal protein,1
P22,gene_1289557c9c66,0.95,high,eaa protein,EaA,1
P22,gene_26206b006816,1.0,high,bactoprenol glucosyl transferase,GtrB glycosyltransferase for O-antigen conversion,0
P22,gene_8519f9feac3c,0.95,high,eai protein,EaI,1
P22,gene_590873422af1,1.0,high,internal virion protein gp16,head morphogenesis,0
P22,gene_b57c1a747c4e,0.95,high,scaffolding protein,head scaffolding protein,1
P22,gene_b188ce82c0c9,0.95,high,ead protein,EaD,1
P22,gene_94cd4aa15dfb,0.937,high,protein gp14,head morphogenesis,0
P22,gene_dbe57a27f3e6,1.0,high,internal virion protein gp20,released from the phage upon host infection,0
P22,gene_1e2f5fc36a27,0.95,high,head-to-tail adapter gp4,head-tail adaptor Ad3,0
P22,gene_88b551d59283,0.95,high,eac protein,EaC,1
P22,gene_96db1b04066f,1.0,high,major capsid protein,head protein,0
P22,gene_0a648fddcdf2,1.0,high,tail hub protein gp10,head closure Hc3,0
P22,gene_eba7df46e964,0.95,high,eag protein,EaG,1
P22,gene_b3d5b9b40c81,0.95,high,antirepressor protein ant,Ant,1
P22,gene_28dd733b7b24,1.0,high,internal virion protein gp7,DNA ejection,0
P22,gene_ea636a126109,0.95,high,regulatory protein mnt,partition protein ATPase,0
P22,gene_a9e74f3ec861,0.95,high,eae protein,EaE,1
P22,gene_5153746c76ca,0.95,high,anti-recbcd protein 2,abc2 anti-RecBCD,1
P22,gene_8383d075f221,0.95,high,anti-recbcd protein 1,Abc1,0
P22,gene_7776b67795cc,0.95,high,essential recombination function protein,Erf-like ssDNA annealing protein,0
P22,gene_085c4b5e3682,0.95,high,accessory recombination function protein,Erf recombination cofactor Arf,0
P22,gene_870f693ddf4b,0.95,high,protein kil,Kil protein for bacterial septation inhibition,1
P22,gene_2530ad35df7a,1.0,high,regulatory protein c3,CIII anti-termination,0
P22,gene_0df9d07c5b9d,0.95,high,superinfection exclusion protein,superinfection exclusion,1
P22,gene_ea13ea2e8973,1.0,high,restriction inhibitor protein ral,restriction alleviation ral,1
P22,gene_d82fc952257e,0.95,high,superinfection exclusion protein b,superinfection exclusion; inhibits SieB,1
P22,gene_4a74b21c6a84,0.95,high,regulatory protein cro,transcriptional regulator,0
P22,gene_6379be3a0057,0.9113,high,transcriptional activator protein c1,CII-like transcriptional activator,1
P22,gene_43954dd2f847,0.7376,moderate,dna replication protein gp18,replication initiation O-like,0
P22,gene_5dc22857ad32,1.0,high,integrase,integrase,1
P22,gene_beb746e9f8d9,1.0,high,protein ninb,NinB/ Orf homologous recombination mediator,1
P22,gene_159d7995b8b7,0.95,high,protein ninx,NinX,1
P22,gene_7324874e7085,1.0,high,protein ninf,NinF,1
P22,gene_e8b79613cee5,1.0,high,protein ning,NinG/ Rap DNA junction specific endonuclease,1
P22,gene_4d6c08498468,1.0,high,protein niny,NinY,1
P22,gene_90cc9cc6fdb1,1.0,high,protein ninh,NinH,1
P22,gene_75eb932c3162,1.0,high,antitermination protein q,transcription antitermination protein,1
P22,gene_7c8b8c26489d,0.742,moderate,endolysin,endolysin,1
P22,gene_1bc25ca73365,0.8718,high,spanin,Rz-like spanin,1
P22,gene_2f8eeeec47f7,1.0,high,eaf protein,EaF,1
P22_434,gene_2cb64e101fb3,1.0,high,maturation protein a,head maturation protease,1
P22_434,gene_53d023db8971,1.0,high,capsid protein,head protein,0
P22_434,gene_98ec046646e8,0.9598,high,rna-directed rna polymerase beta chain,RNA replicase beta subunit,0
PRD1,gene_255134920c4f,0.95,high,penton protein p31,major spike protein,0
PRD1,gene_cd90ed17a7af,1.0,high,protein p10,assembly,0
PRD1,gene_0484667a30dd,0.95,high,adsorption protein p2,receptor binding,0
PRD1,gene_2df87a3e1680,0.95,high,endolysin,endolysin,1
PRD1,gene_b3b14bdcde76,0.95,high,major capsid protein p3,minor head protein,0
PRD1,gene_0736494b0459,0.95,high,packaging efficiency factor p6,minor head protein,0
PRD1,gene_4888a0e7327b,0.95,high,protein p17,assembly,0
PRD1,gene_335c308c8d3e,0.95,high,protein p33,assembly,0
PRD1,gene_59dddf50a106,0.905,high,dna-directed dna polymerase,DNA polymerase,1
PRD1,gene_074cbf0f9e0f,0.95,high,dna terminal protein,terminal protein,1
PRD1,gene_35a549133ddc,0.95,high,protein p18,DNA delivery,0
PRD1,gene_3f7dc6970468,0.95,high,packaging protein p20,DNA packaging,0
PRD1,gene_4368f5b466e3,1.0,high,dna packaging atpase p9,terminase large subunit,0
PRD1,gene_75009ccaf451,0.95,high,protein p34,membrane DNA delivery,0
PRD1,gene_272c973ed502,0.95,high,minor capsid protein p30,minor head protein,0
PRD1,gene_de489db19df0,0.95,high,infectivity protein p11,DNA delivery,0
PRD1,gene_e874f662d7ea,0.95,high,protein p32,membrane DNA delivery,0
PRD1,gene_c206e224b92a,0.95,high,protein p19,single strand DNA binding protein,0
PRD1,gene_b09414206c54,0.95,high,packaging protein p22,DNA packaging,0
PRD1,gene_aea6f7a50d53,0.95,high,holin,holin,1
PRD1,gene_1c9946e8e757,0.95,high,single-stranded dna-binding protein,single strand DNA binding protein,1
SP01,gene_7bad35fc2a5a,1.0,high,structural polyprotein,polyprotein,1
SP6,gene_edc7830ae7f6,0.769,moderate,protein ocr,ocr-like anti-restriction protein,1
SP6,gene_06051ff834bb,0.53,moderate,nucleotide kinase gp1.7,nucleotide kinase,1
SP6,gene_27d247169318,0.8854,high,dna-directed rna polymerase,RNA polymerase,1
SP6,gene_6f8523d355a8,0.7446,moderate,dna-directed dna polymerase,DNA polymerase,1
SP6,gene_686149415d33,0.45,low,Serine protease,internal virion protein,0
SP6,gene_944726560c70,1.0,high,peptidoglycan hydrolase gp36,lysozyme domain-containing protein,0
SP6,gene_35cc7aca8d17,0.6612,moderate,portal protein,head portal protein,1
SP6,gene_9d591f1e8cde,0.35,low,Lipoprotein,o-spanin,0
SP6,gene_6b68e29232d8,0.443,low,tail spike protein,tail spike protein,1
SP6,gene_64f19a40b3d4,0.463,low,terminase,terminase large subunit,1
SP6,gene_c74763f33724,0.35,low,ATP/GTP binding protein,internal virion protein with endolysin domain,0
SPP1,gene_46a02d777da8,0.95,high,head completion protein gp16,head closure Hc1,0
SPP1,gene_6244817e5be4,0.95,high,head completion protein gp15,head-tail adaptor,0
SPP1,gene_cbecb4a47d02,0.95,high,major capsid protein,major head protein,0
SPP1,gene_36e473211f0e,0.95,high,tail completion protein gp17,tail terminator,0
SPP1,gene_07196aa64f28,0.688,moderate,capsid assembly scaffolding protein,head scaffolding protein,0
SPP1,gene_7d4e2a10d363,0.95,high,minor head protein gp7,minor head protein,1
SPP1,gene_aecc0e46b43f,0.95,high,distal tail protein,distal tail protein Dit,1
SPP1,gene_dc4894e50fcd,0.944,high,tail tube protein gp17.1*,major tail protein,0
SPP1,gene_bdf4b0d80f3f,0.6617,moderate,portal protein,portal protein,1
SPP1,gene_87870176579e,0.95,high,terminase,terminase large subunit,1
SPP1,gene_136baee768c1,0.949,high,tail spike protein,tail tip protein Tal,0
SPP1,gene_636a4dbe5efd,0.8953,high,antiholin,holin,0
SPP1,gene_7052b3654a57,1.0,high,endolysin,endolysin,1
SPP1,gene_cabeeb7e2fb7,0.6746,moderate,replicative dna helicase dnac,DnaB-like replicative helicase,1
SPP1,gene_a5fffbd0048b,0.447,low,protein rect,RecT-like ssDNA annealing protein,1
T3,gene_35d0dcd9927b,0.37,low,protein kinase 0.7,serine-threonine kinase,1
T3,gene_117819dbd3b5,1.0,high,s-adenosylmethionine lyase,SAM-dependent methyltransferase,0
T3,gene_2d4aea6c0798,1.0,high,dna-directed dna polymerase,DNA polymerase I,1
T3,gene_12d023d02c12,1.0,high,single-stranded dna-binding protein,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,0
T3,gene_3863f51aef24,1.0,high,exodeoxyribonuclease,exonuclease,0
T3,gene_a377af995d22,1.0,high,capsid assembly scaffolding protein,head assembly,0
T3,gene_ebb67e25a9b5,0.7932,moderate,bacterial rna polymerase inhibitor,RNA polymerase inhibitor,1
T3,gene_7bb40abec75f,0.9913,high,portal protein,head-tail adaptor,0
T3,gene_8d4d2c81f041,1.0,high,gene 5.5 protein,Gp5.5-like host HNS inhibition,0
T3,gene_bf3a9a0cd575,0.9256,high,tail tubular protein gp11,tail protein,1
T3,gene_9a94f7b79d18,0.95,high,gene 5.9 protein,Gp5.9-like inihibitor of recBCD nuclease,0
T3,gene_6882decd6347,0.95,high,gene 1.2 protein,dGTPase inhibitor; target for F exclusion,0
T3,gene_ab95c2ebf265,0.95,high,gene 1.7 protein,DUF3310 domain-containing protein,0
T3,gene_f69d79a0af01,1.0,high,dna-directed rna polymerase,RNA polymerase,1
T3,gene_9933e66fc5fa,1.0,high,major capsid protein,major head protein,0
T3,gene_a37078896ec0,1.0,high,endodeoxyribonuclease 1,endonuclease,0
T3,gene_be054ca695d8,1.0,high,dna ligase,DNA ligase,1
T3,gene_62ef836f5928,0.8541,high,dna helicase/primase,DNA primase/helicase,1
T3,gene_d1ccd508595d,0.9857,high,Metabolism-related protein,tail protein,0
T3,gene_a523e875a61a,0.477,low,scaffold protein gp13,internal virion protein,0
T3,gene_7a4f2e3565ae,0.585,moderate,internal virion protein gp14,internal virion protein,1
T3,gene_10cbe0a67497,1.0,high,internal virion protein gp15,internal virion protein,1
T3,gene_77081361e54f,1.0,high,tail fiber protein,tail fiber protein,1
T3,gene_f5c631350d9f,1.0,high,holin,holin,1
T3,gene_97b2603e814c,0.9,high,spanin,Rz-like spanin,1
T3,gene_089de6b8c211,0.35,low,Lipoprotein,Rz-like spanin,0
T4,gene_590c5905dc99,1.0,high,transcription regulatory protein motb,MotB-like transcriptional regulator,0
T4,gene_d9103f3219b3,0.7673,moderate,small outer capsid protein,virion structural protein,0
T4,gene_1ff061570db9,0.95,high,protein cef,cef modifier of supressor tRNAs,1
T4,gene_d83fde28f293,0.94,high,dna topoisomerase small subunit,DNA topoisomerase II,1
T4,gene_059d3ae63647,1.0,high,nad--protein adp-ribosyltransferase modb,RNA polymerase ADP-ribosylase,0
T4,gene_a0c1be4bcda4,0.95,high,nad--protein adp-ribosyltransferase moda,RNA polymerase ADP-ribosylase,0
T4,gene_a9adc12f5a93,0.8415,high,dna topoisomerase large subunit,DNA topoisomerase II large subunit,1
T4,gene_2586ef314cde,0.95,high,dna primase,DNA primase,1
T4,gene_bd611d0135aa,0.95,high,rpoh-modulating protein,Mrh transcription modulator under heat shock,0
T4,gene_4a0a35fc1e2a,1.0,high,dna adenine methylase,Dam family site-specific DNA-(adenine-N6)-methyltransferase,0
T4,gene_275e38a25db7,1.0,high,atp-dependent dna helicase dda,Dda-like helicase,1
T4,gene_2d1416cb36a9,1.0,high,dna replication protein,dUTPase,0
T4,gene_0998e3f057f3,0.95,high,dna replication protein,SegF homing endonuclease,0
T4,gene_198b0b64d173,1.0,high,protein riia,RIIA lysis inhibitor,1
T4,gene_f9c5dff543e0,0.95,high,exodeoxyribonuclease,exonuclease,0
T4,gene_f0ffe23f62ef,0.95,high,anti-dart factor a,gp61.2 hypothetical protein,0
T4,gene_d5f14cd10dac,1.0,high,protein spackle,spackle periplasmic,1
T4,gene_bba27fa2dbf5,1.0,high,dnab-like replicative helicase,AAA family ATPase,0
T4,gene_7a57bd18058d,0.95,high,head formation protein,head vertex assembly chaperone,0
T4,gene_788a11927f64,0.95,high,recombination and repair protein,recombinase,0
T4,gene_778c17ce4baa,1.0,high,endonuclease sega,homing endonuclease,0
T4,gene_b922ba2e9a71,0.95,high,dna beta-glucosyltransferase,beta-glucosyltransferase,1
T4,gene_82e410a691cf,1.0,high,deoxycytidylate 5-hydroxymethyltransferase,thymidylate synthase,0
T4,gene_6572b65dd0f6,0.95,high,immunity protein,immunity to superinfection,1
T4,gene_9ea85604e4dd,1.0,high,translation repressor protein,translation repressor,1
T4,gene_5a7e904461d5,0.95,high,sliding-clamp-loader small subunit,clamp loader of DNA polymerase,0
T4,gene_11ead95b8800,1.0,high,sliding-clamp-loader large subunit,clamp loader of DNA polymerase,0
T4,gene_8f683147b72d,0.95,high,sliding clamp,DNA polymerase processivity factor,0
T4,gene_8ca4746ae0cf,0.95,high,15 kda rna polymerase-binding protein,RNA polymerase binding,1
T4,gene_25be451cb9e5,0.95,high,protein gp45.2,protein GP45.2,1
T4,gene_67e35f5e5c9b,0.95,high,exonuclease subunit 1,SbcD-like subunit of palindrome specific endonuclease,0
T4,gene_61ef0a929382,0.9644,high,dna-directed dna polymerase,DNA polymerase,1
T4,gene_a5523513845b,0.95,high,mobile endonuclease b,homing endonuclease,0
T4,gene_fc033255e078,0.95,high,rna polymerase sigma-like factor,RNA polymerase sigma factor,1
T4,gene_1f9d55c08aa1,0.9715,high,anaerobic ribonucleoside-triphosphate reductase-activating protein,anaerobic ribonucleotide reductase small subunit,0
T4,gene_5ebd94474f62,1.0,high,mobile endonuclease c,homing endonuclease,0
T4,gene_e07e7c62e1e3,0.95,high,intron-associated endonuclease 2,I-TevII homing endonuclease,0
T4,gene_8185168fd572,0.95,high,recombination endonuclease vii,endonuclease VII,1
T4,gene_c01dfac95980,1.0,high,host protease inhibitor,inhibitor of host Lon protease,1
T4,gene_37f9fd7aeab1,1.0,high,glutaredoxin,NrdC thioredoxin,0
T4,gene_07633cb4a550,0.95,high,antitoxin dmd,Dmd discriminator of mRNA degradation,0
T4,gene_33207cea47e4,0.95,high,mobile endonuclease d,homing endonuclease,0
T4,gene_abb3755eff62,1.0,high,antiholin,lysis inhibition,0
T4,gene_fbe4fc7960be,0.991,high,thymidine kinase,thymidine kinase,1
T4,gene_bc15fea1da59,0.95,high,valyl--trna ligase modifier,valyl tRNA synthetase modifier,1
T4,gene_da74b55900cf,0.95,high,endoribonuclease regb,endoribonuclease,1
T4,gene_cbb4e5231052,1.0,high,autonomous glycyl radical cofactor,autonomous glycyl radical cofactor GrcA,1
T4,gene_05c408d3c010,0.95,high,endonuclease v,endonuclease V N-glycosylase UV repair enzyme,1
T4,gene_4a85b1c1b245,0.95,high,internal protein ii,internal virion protein,1
T4,gene_501f315aea94,0.95,high,internal protein iii,internal virion protein,0
T4,gene_73b5fba7f47a,1.0,high,endolysin,glycoside hydrolase family protein,0
T4,gene_dd8e01bc62bc,1.0,high,endonuclease segb,homing endonuclease,0
T4,gene_585a6779015d,0.95,high,internal protein i,internal virion protein,1
T4,gene_ab341e09fd19,1.0,high,anti-cbass protein acb1,RNA ligase,0
T4,gene_8944b8fa6b74,0.95,high,tail fiber assembly helper protein,tail fiber chaperone,1
T4,gene_eb48038875d0,0.8405,high,deoxynucleotide monophosphate kinase,deoxynucleoside monophosphate kinase,1
T4,gene_78719efed840,0.95,high,tail tube terminator protein,tail protein,1
