genome,gene,confidence,level,pred_product,truth_product,correct
P22,gene_7a8cf4604c39,0.35,low,ATP/GTP binding protein,head morphogenesis,0
P22,gene_5dca106da856,0.35,low,ATP/GTP binding protein,terminase large subunit,0
P22,gene_033525ddf6ac,0.35,low,Lipoprotein,EaF,0
P22,gene_bca3e3c3d51b,0.35,low,Lipoprotein,NinY,0
P22,gene_821bbb040c27,0.35,low,DNA-binding transcription regulator,holin/anti-holin,0
P22,gene_fcfedafeea92,0.35,low,Lipoprotein,anti-repressor,0
PRD1,gene_aaf577dfa4de,0.35,low,ATP/GTP binding protein,terminase large subunit,0
PRD1,gene_a93c81caa20d,0.45,low,Serine protease,transglycosylase,0
SP01,gene_e5e4116c10c1,0.35,low,Lipoprotein,polyprotein,0
SP6,gene_e3d26ae62708,0.35,low,DNA-binding transcription regulator,DNA polymerase,0
SP6,gene_09db975cd7da,0.45,low,Serine protease,internal virion protein,0
SP6,gene_7f7b2c1acbe8,0.35,low,ATP/GTP binding protein,internal virion protein with endolysin domain,0
SP6,gene_fe44f7f30b3e,0.35,low,Lipoprotein,o-spanin,0
SPP1,gene_bfb4a1bf1415,0.35,low,ATP/GTP binding protein,DnaB-like replicative helicase,0
SPP1,gene_e6ebeb4490d3,0.35,low,DNA-binding transcription regulator,tail spike protein,0
T3,gene_ea2025ed61af,0.35,low,DNA-binding transcription regulator,gene 6.3 protein,0
T3,gene_29a7a9947011,0.35,low,Lipoprotein,SAM-dependent methyltransferase,0
T3,gene_f1dc59c16139,0.35,low,Lipoprotein,exonuclease,0
T3,gene_cc6cbd500fce,0.35,low,Lipoprotein,Rz-like spanin,0
T3,gene_05d958a1a447,0.35,low,ATP/GTP binding protein,terminase large subunit,0
T3,gene_fc8529fde37b,0.45,low,Lipoprotein,tail protein,0
T4,gene_f30be3823dca,0.35,low,Serine protease,Mrh.1 hypothetical protein,0
T4,gene_9e988c4dd0ba,0.35,low,Serine protease,gp61.1 hypothetical protein,0
T4,gene_26946db7ac19,0.35,low,ATP/GTP binding protein,Dda-like helicase,0
T4,gene_2bd1b7682876,0.35,low,Lipoprotein,spackle periplasmic,0
T4,gene_15f23d00aca8,0.35,low,ATP/GTP binding protein,AAA family ATPase,0
T4,gene_8d20ecd50d78,0.35,low,Lipoprotein,iduronate sulfatase,0
T4,gene_26b0e6a7f2d7,0.35,low,ATP/GTP binding protein,SbcC-like subunit of palindrome specific endonuclease,0
T4,gene_6f0d53f24f5d,0.35,low,Lipoprotein,anaerobic ribonucleotide reductase small subunit,0
T4,gene_62918c2792f9,0.35,low,DNA-binding transcription regulator,gp55.6 conserved hypothetical protein,0
T4,gene_6a74868859cc,0.45,low,ATP/GTP binding protein,thymidine kinase,0
T4,gene_afbdfcd6da1f,0.35,low,Lipoprotein,baseplate hub,0
T4,gene_bd3203d63e0e,0.35,low,DNA-binding transcription regulator,head-tail adaptor Ad2,0
T4,gene_b69b6dd7b780,0.35,low,ATP/GTP binding protein,polynucleotide kinase,0
T4,gene_d4a58f43a2d6,0.35,low,Lipoprotein,Rz-like spanin,0
T4,gene_adb96e20ccdd,0.35,low,DNA-binding transcription regulator,gp30.8 conserved hypothetical protein,0
T4,gene_c1bfb1d0e24d,0.35,low,Lipoprotein,Alt-like RNA polymerase ADP-ribosyltransferase,0
T4,gene_940431047b7c,0.35,low,Lipoprotein,Ac acridine resistance protein,0
T4,gene_66b8f03ea0aa,0.45,low,DNA-binding transcription regulator,DNA ligase,0
T7,gene_48af76ab53b0,0.35,low,Lipoprotein,exonuclease,0
T7,gene_6c3ac4c64ef7,0.45,low,Lipoprotein,tail protein,0
T7,gene_e39005c4b36f,0.35,low,Lipoprotein,Rz-like spanin,0
T7,gene_e3321aaaf215,0.35,low,ATP/GTP binding protein,terminase large subunit,0
gh-1,gene_acb15d4411f1,0.35,low,Lipoprotein,exonuclease,0
gh-1,gene_73a2cc4bf276,0.35,low,ATP/GTP binding protein,internal virion protein,0
gh-1,gene_5e743998d37b,0.35,low,Lipoprotein,tail protein,0
gh-1,gene_89e1f4545f4f,0.45,low,DNA-binding transcription regulator,RNA polymerase,0
gh-1,gene_2f736e3691dd,0.35,low,ATP/GTP binding protein,terminase large subunit,0
lambda_phage,gene_1d5b2937c4f3,0.35,low,DNA-binding transcription regulator,ea47,0
lambda_phage,gene_12eabb5f800f,0.35,low,Lipoprotein,minor tail protein,0
lambda_phage,gene_546056e5dda1,0.35,low,Lipoprotein,CIII anti-termination,0
lambda_phage,gene_9651ee2f63a0,0.35,low,Lipoprotein,Bor-like outer membrane protein,0
lambda_phage,gene_3dc7b8ddbb8c,0.35,low,ATP/GTP binding protein,AAA family ATPase,0
phage_186,gene_68fc04c97432,0.35,low,DNA-binding transcription regulator,tail length tape measure protein,0
phage_P1,gene_74326d6086b6,0.35,low,ATP/GTP binding protein,transposase,0
phage_P1,gene_8a8b315f1e29,0.35,low,DNA-binding transcription regulator,DdrB,0
phage_P1,gene_2399deef50df,0.35,low,DNA-binding transcription regulator,transglycosylase SLT domain-containing protein,0
phage_P1,gene_a1c7ae3b4f0e,0.35,low,Lipoprotein,PmgF,0
phage_P1,gene_32115994a0b2,0.35,low,Lipoprotein,gp21,0
phage_P1,gene_d49a3c76b5cf,0.35,low,Serine protease,tail sheath,0
phage_P1,gene_b6ddfce89ac1,0.35,low,Lipoprotein,gp23,0
phage_P1,gene_3359919f8811,0.35,low,Lipoprotein,norphogenetic protein,0
phage_P1,gene_8954e36781a4,0.35,low,Lipoprotein,tail protein,0
phage_P1,gene_3e292897102b,0.35,low,ATP/GTP binding protein,terminase,0
phage_P1,gene_8d1340b65274,0.35,low,ATP/GTP binding protein,DnaB-like replicative helicase,0
phage_P2,gene_2d2e6a11bf02,0.35,low,ATP/GTP binding protein,Fun(Z),0
phage_P2,gene_263ffa9b3a30,0.35,low,DNA-binding transcription regulator,holin,0
phage_P2,gene_29696af5d6b1,0.35,low,DNA-binding transcription regulator,tail protein,0
phage_P2,gene_01da5be2a1b4,0.35,low,ATP/GTP binding protein,AAA family ATPase,0
phi105,gene_be6310230fa5,0.35,low,Lipoprotein,pre-neck appendage protein,0
phi105,gene_0e20de603b68,0.35,low,Serine protease,toxin-antitoxin system HicB-like,0
phi105,gene_d62dbbb1c54f,0.35,low,ATP/GTP binding protein,DNA primase,0
phi105,gene_95103d7e36ce,0.35,low,ATP/GTP binding protein,AAA family ATPase,0
phi29,gene_eb721a71ff56,0.35,low,ATP/GTP binding protein,terminase,0
phi29,gene_f4f9cfc55ec8,0.35,low,Lipoprotein,GP16.7-like replication protein,0
phi29,gene_a0e5f4e78748,0.35,low,DNA-binding transcription regulator,DNA polymerase,0
Bacillus_subtilis_168,gene_75990c5b22ae,0.35,low,ATP/GTP binding protein,deoxyguanosine kinase,0
Bacillus_subtilis_168,gene_1fa0f0ef7099,0.495,low,ATP/GTP binding protein,"RecA filament-DNA complex stabilisation, ssDNA and dsDNA binding, ATP binding",0
Bacillus_subtilis_168,gene_56b6ce80a110,0.35,low,ATP/GTP binding protein,methionyl-tRNA synthetase,0
Bacillus_subtilis_168,gene_33cda2dcd6d3,0.35,low,ATP/GTP binding protein,DNA polymerase III subunit tau subunit,0
Bacillus_subtilis_168,gene_816da88d972c,0.35,low,ATP/GTP binding protein,deoxyadenosine/deoxycytidine kinase,0
Bacillus_subtilis_168,gene_cd3958d87437,0.35,low,Lipoprotein,seryl-tRNA synthetase,0
Bacillus_subtilis_168,gene_938d1d614b93,0.35,low,ATP/GTP binding protein,thymidylate kinase,0
Bacillus_subtilis_168,gene_f68a8197d4b1,0.35,low,ATP/GTP binding protein,chromosomal replication initiator informational ATPase,0
Bacillus_subtilis_168,gene_9712e3831936,0.35,low,DNA-binding transcription regulator,hypoxanthine-guanine phosphoribosyltransferase,0
Bacillus_subtilis_168,gene_579852119ff4,0.35,low,DNA-binding transcription regulator,SpoIIAA-phosphate serine phosphatase,0
Bacillus_subtilis_168,gene_46d94f5ec519,0.35,low,ATP/GTP binding protein,ATP-dependent cytoplasmic membrane protease,0
Bacillus_subtilis_168,gene_af7da80eabba,0.35,low,ATP/GTP binding protein,4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase),0
Bacillus_subtilis_168,gene_9210651ef8a3,0.35,low,Lipoprotein,activator of protein kinase McsB,0
Bacillus_subtilis_168,gene_f911936a2b13,0.35,low,Lipoprotein,protein arginine kinase,0
Bacillus_subtilis_168,gene_46b8e9245de1,0.35,low,ATP/GTP binding protein,DNA repair protein; 6-O-methylguanine-DNA methyltransferase,0
Bacillus_subtilis_168,gene_9f845f9416a5,0.45,low,ATP/GTP binding protein,elongation factor Tu,0
Bacillus_subtilis_168,gene_97c982e36dea,0.35,low,Lipoprotein,ribosomal protein L2 (BL2),0
Bacillus_subtilis_168,gene_f8a20d4cd317,0.35,low,DNA-binding transcription regulator,RNA polymerase (beta' subunit),0
Bacillus_subtilis_168,gene_c7b4f84d254c,0.35,low,ATP/GTP binding protein,energizing coupling factor of ABC influx transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_43f489b65167,0.35,low,Lipoprotein,lipoprotein factor mediating clustering of germination proteins,1
Bacillus_subtilis_168,gene_094d056b4f38,0.35,low,ATP/GTP binding protein,energizing coupling factor of ABC influx transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_371ffbd661cf,0.45,low,Lipoprotein,iron-uptake protein,0
Bacillus_subtilis_168,gene_3b5094bc3d56,0.35,low,Serine protease,transcriptional regulator MurR-N-acetylmuramic acid,0
Bacillus_subtilis_168,gene_e3b2cc7b1b7e,0.35,low,ATP/GTP binding protein,phosphorylation-dependent (Y327) transcriptional regulator,0
Bacillus_subtilis_168,gene_fd46cc1855ab,0.35,low,Lipoprotein,L-glutamine-D-fructose-6-phosphate amidotransferase,0
Bacillus_subtilis_168,gene_d34ddbe06768,0.35,low,DNA-binding transcription regulator,phosphoglucosamine mutase,0
Bacillus_subtilis_168,gene_6060a6cf47a4,0.45,low,ATP/GTP binding protein,"class III stress response-related ATPase, AAA+ superfamily",0
Bacillus_subtilis_168,gene_6eb6a20fa1b3,0.35,low,ATP/GTP binding protein,sporulation killing factor biosynthesis and export; ABC transporter (binding protein),0
Bacillus_subtilis_168,gene_78240e91d0ed,0.35,low,Serine protease,sporulation killing factor biosynthesis and export; ABC transporter (permease),0
Bacillus_subtilis_168,gene_3b894df170f3,0.45,low,ATP/GTP binding protein,elongation factor G,0
Bacillus_subtilis_168,gene_38ac463a0be1,0.35,low,Lipoprotein,phosphatidylserine decarboxylase; 32 kDa precursor processed into a 29 kDa protein,0
Bacillus_subtilis_168,gene_8628d6ce31a8,0.35,low,DNA-binding transcription regulator,phosphotransferase system (PTS) glucosamine-specific enzyme IICBA component,0
Bacillus_subtilis_168,gene_81cce28a6463,0.35,low,Lipoprotein,glutaminase,0
Bacillus_subtilis_168,gene_e1c2795b8d13,0.35,low,DNA-binding transcription regulator,flavonoid efflux transporter; drug-export protein,0
Bacillus_subtilis_168,gene_376970d6a600,0.35,low,Lipoprotein,transcriptional repressor of lmrAB and yxaGH operons (flavonoid and antibiotic resistance),0
Bacillus_subtilis_168,gene_2679762962eb,0.35,low,Serine protease,lipoprotein involved in swarming behaviour,0
Bacillus_subtilis_168,gene_978a0b8fef35,0.35,low,DNA-binding transcription regulator,glutamine transporter,0
Bacillus_subtilis_168,gene_0d743499a033,0.35,low,ATP/GTP binding protein,Na+ ABC efflux transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_ae183cd51cca,0.35,low,Lipoprotein,L-proline betaine and betonicine ABC transporter ABC transporter (glycine betaine-binding lipoprotein),1
Bacillus_subtilis_168,gene_5f3a739c0c60,0.35,low,DNA-binding transcription regulator,L-lactate dehydrogenase,0
Bacillus_subtilis_168,gene_9b89a7dfda92,0.35,low,ATP/GTP binding protein,shikimate kinase,0
Bacillus_subtilis_168,gene_841ee09f28c1,0.35,low,Lipoprotein,assimilatory nitrite reductase subunit,0
Bacillus_subtilis_168,gene_95a96c23a881,0.35,low,Lipoprotein,amino acid ABC transporter (binding lipoprotein subunit),1
Bacillus_subtilis_168,gene_3ed745a47cf1,0.35,low,DNA-binding transcription regulator,conserved integral membrane protein of unknown function,0
Bacillus_subtilis_168,gene_96f01144573a,0.35,low,ATP/GTP binding protein,multidrug-efflux transporter,0
Bacillus_subtilis_168,gene_b25303ac951a,0.45,low,DNA-binding transcription regulator,uroporphyrin-III C-methyltransferase,0
Bacillus_subtilis_168,gene_884a96d10719,0.35,low,DNA-binding transcription regulator,aryl-phospho-beta-d-glucosidase,0
Bacillus_subtilis_168,gene_da0742457f9d,0.35,low,Lipoprotein,cystine ABC transporter (substrate-binding lipoprotein),1
Bacillus_subtilis_168,gene_b9de2153cd28,0.35,low,ATP/GTP binding protein,cystine ABC transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_7842b011dd80,0.35,low,DNA-binding transcription regulator,"promiscuous phenolic acid decarboxylase subunit; 1,4-dihydroxy-2-naphtoate-heptaprenyl diphosphate decarboxylase",0
Bacillus_subtilis_168,gene_c915b3853c21,0.35,low,DNA-binding transcription regulator,spore germination receptor subunit,0
Bacillus_subtilis_168,gene_c00de01158ca,0.35,low,DNA-binding transcription regulator,surfactin exporter,0
Bacillus_subtilis_168,gene_b3061934b7a4,0.35,low,Lipoprotein,aspartate kinase III,0
Bacillus_subtilis_168,gene_9998b6ee55a4,0.35,low,ATP/GTP binding protein,petrobactin iron-siderophore ABC transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_61ec43ef88a7,0.35,low,Lipoprotein,petrobactin iron-siderophore ABC transporter (binding lipoprotein),1
Bacillus_subtilis_168,gene_6cf7cd68ed3c,0.35,low,ATP/GTP binding protein,zinc metallochaperone with NTPase activity,0
Bacillus_subtilis_168,gene_54c6d9459781,0.35,low,Serine protease,copper import permease subunit,0
Bacillus_subtilis_168,gene_fe5358e13b27,0.35,low,Serine protease,phosphotransferase system (PTS) mannitol-specific enzyme IICB component,0
Bacillus_subtilis_168,gene_25285b8045ee,0.35,low,DNA-binding transcription regulator,petrobactin iron-siderophore ABC transporter (permease),0
Bacillus_subtilis_168,gene_66bfbb6662c1,0.35,low,ATP/GTP binding protein,L-5-oxoprolinase (ATP-dependent) subunit B,0
Bacillus_subtilis_168,gene_19b9996264e5,0.45,low,Lipoprotein,mannitol-1-phosphate 5-dehydrogenase,0
Bacillus_subtilis_168,gene_dbe2ac344a7d,0.45,low,Lipoprotein,spore coat phospholipase B,0
Bacillus_subtilis_168,gene_f089831fd831,0.35,low,Serine protease,proton-coupled manganese transporter,0
Bacillus_subtilis_168,gene_78c2097d5a22,0.35,low,ATP/GTP binding protein,two-component sensor histidine kinase,0
Bacillus_subtilis_168,gene_6351d390d859,0.5,moderate,Protein with amp_binding motif,surfactin synthetase,0
Bacillus_subtilis_168,gene_638645f0842d,0.45,low,ATP/GTP binding protein,D-alanyl-D-alanine ligase A,0
Bacillus_subtilis_168,gene_46b2a66d1832,0.35,low,ATP/GTP binding protein,ATP-dependent RNA helicase; cold shock,0
Bacillus_subtilis_168,gene_815a282aaad0,0.35,low,DNA-binding transcription regulator,resistance to heterologous antibiotics,0
Bacillus_subtilis_168,gene_f482d825def4,0.35,low,ATP/GTP binding protein,C4-dicarboxylate transport protein,0
Bacillus_subtilis_168,gene_9c343bb21092,0.35,low,Lipoprotein,ICEBs1 mobile element: integrase,0
Bacillus_subtilis_168,gene_be16aeb4921a,0.35,low,ATP/GTP binding protein,ICEBs1 mobile element: DNA relaxase,0
Bacillus_subtilis_168,gene_de0df2ff2fd0,0.35,low,ATP/GTP binding protein,ICEBs1 mobile element: VirB4-like ATPase,0
Bacillus_subtilis_168,gene_17026babe00d,0.35,low,Lipoprotein,ICEBs1 mobile element: putative lipoprotein of unknown function,1
Bacillus_subtilis_168,gene_f4224234034d,0.395,low,ATP/GTP binding protein,ICEBs1 mobile element: coupling conjugation protein VirD4,0
Bacillus_subtilis_168,gene_aff2ffaedb82,0.35,low,DNA-binding transcription regulator,conserved phage protein of unknown function,0
Bacillus_subtilis_168,gene_98179547a226,0.35,low,DNA-binding transcription regulator,ICEBs1 mobile element: VirB6 subunit of the conjugation machinery,0
Bacillus_subtilis_168,gene_e7e843531586,0.35,low,ATP/GTP binding protein,ATP-binding cassette efflux transporter,0
Bacillus_subtilis_168,gene_b9a38e556e82,0.35,low,DNA-binding transcription regulator,oligo-alpha-mannoside phosphotransferase system enzyme IIC,0
Bacillus_subtilis_168,gene_43388ba7ebd1,0.35,low,ATP/GTP binding protein,tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; ADP binding protein,0
Bacillus_subtilis_168,gene_baf7898d433d,0.35,low,DNA-binding transcription regulator,primary Mn(II) efflux pump,0
Bacillus_subtilis_168,gene_5385c37895fa,0.35,low,ATP/GTP binding protein,type-2 restriction enzyme BsuMI component BsuRB (YdiS); prophage region 3,0
Bacillus_subtilis_168,gene_8b4962745cfd,0.45,low,DNA-binding transcription regulator,H+-glucitol symporter; prophage region 3,0
Bacillus_subtilis_168,gene_0cecd4484302,0.35,low,DNA-binding transcription regulator,conserved hypothetical protein; prophage region 3,0
Bacillus_subtilis_168,gene_003833448a43,0.35,low,DNA-binding transcription regulator,hypoxanthine/guanine permease,0
Bacillus_subtilis_168,gene_b714c237317b,0.35,low,ATP/GTP binding protein,transcriptional regulator of the glucitol operon,0
Bacillus_subtilis_168,gene_fc440f32b01f,0.35,low,Serine protease,phosphoribosylaminoimidazole synthetase,0
Bacillus_subtilis_168,gene_69e26531a985,0.35,low,ATP/GTP binding protein,ATP-dependent DNA helicase,0
Bacillus_subtilis_168,gene_aa32765b052e,0.35,low,Serine protease,surfactin exporter involved in surfactin self-resistance,0
Bacillus_subtilis_168,gene_38a0b6f7088f,0.35,low,DNA-binding transcription regulator,rhamnogalacturonan permease,0
Bacillus_subtilis_168,gene_a88a6b8de442,0.35,low,Serine protease,two-component sensor histidine kinase [YesN],0
Bacillus_subtilis_168,gene_8702f01dca67,0.35,low,Lipoprotein,lipoprotein transporter binding protein for alpha-galacturonides,1
Bacillus_subtilis_168,gene_c8f1b4e9ccac,0.35,low,DNA-binding transcription regulator,ABC transporter (permease) for alpha-galacturonides,0
Bacillus_subtilis_168,gene_494ea022bc64,0.35,low,DNA-binding transcription regulator,bifunctional P-450/NADPH-P450 reductase 1,0
Bacillus_subtilis_168,gene_07fbbc8bae67,0.35,low,Lipoprotein,iron-dicitrate ABC transporter (binding lipoprotein),1
Bacillus_subtilis_168,gene_47a34e579256,0.35,low,ATP/GTP binding protein,iron-dicitrate ABC transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_72c07ec6102e,0.35,low,Lipoprotein,nitric-oxide synthase,0
Bacillus_subtilis_168,gene_d288ec283daf,0.45,low,DNA-binding transcription regulator,phosphotransferase system (PTS) N-acetylglucosamine-specific enzyme IICB component,0
Bacillus_subtilis_168,gene_25cc054fa263,0.35,low,DNA-binding transcription regulator,malate (2-oxoglutarate) transporter,0
Bacillus_subtilis_168,gene_9d47abcd9de8,0.35,low,DNA-binding transcription regulator,divalent cation (octahedral coordination) transporter,0
Bacillus_subtilis_168,gene_f3d3d1641c65,0.35,low,Lipoprotein,acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase),0
Bacillus_subtilis_168,gene_7c2aa9c59578,0.35,low,Lipoprotein,ABC transporter (permease) biofilm formation,0
Bacillus_subtilis_168,gene_212726db8686,0.35,low,DNA-binding transcription regulator,phosphotransferase system (PTS) maltose-specific enzyme IICB component,0
Bacillus_subtilis_168,gene_52164d9fc78a,0.35,low,DNA-binding transcription regulator,ABC transporter (permease) biofilm formation,0
Bacillus_subtilis_168,gene_bf572c1ceee3,0.35,low,Lipoprotein,xenosiderophore schizokinen (dihydroxamate) transporter binding lipoprotein,1
Bacillus_subtilis_168,gene_7313936b3228,0.35,low,Lipoprotein,xenosiderophore schizokinen (dihydroxamate) transporter (permease),0
Bacillus_subtilis_168,gene_6d9b5f4d13e9,0.35,low,DNA-binding transcription regulator,phosphatidylglycerol lysyltransferase involved in tRNA-dependent lysinylation of phospholipids,0
Bacillus_subtilis_168,gene_76dce959e358,0.35,low,Lipoprotein,factor for peptide SdpC immunity,0
Bacillus_subtilis_168,gene_effde2aaa4a1,0.35,low,DNA-binding transcription regulator,xenosiderophore schizokinen (dihydroxamate) transporter (permease),0
Bacillus_subtilis_168,gene_b88121f722e0,0.35,low,Lipoprotein,aliphatic sulfonate ABC transporter (binding lipoprotein),1
Bacillus_subtilis_168,gene_8f36c121044c,0.35,low,ATPase,"glutamate-1-semialdehyde aminotransferase, class III aminotransferase",0
Bacillus_subtilis_168,gene_0751737ce2d1,0.35,low,Lipoprotein,conserved protein involved in sporulation,0
Bacillus_subtilis_168,gene_84d7162a3598,0.35,low,Serine protease,factor involved in shape determination,0
Bacillus_subtilis_168,gene_b2fe3337017e,0.35,low,ATP/GTP binding protein,serine protein kinase (involved in sporulation),0
Bacillus_subtilis_168,gene_b595dd60c823,0.35,low,DNA-binding transcription regulator,aliphatic sulfonate ABC transporter (permease),0
Bacillus_subtilis_168,gene_b0d316115f8e,0.35,low,DNA-binding transcription regulator,diguanylate cyclase,0
Bacillus_subtilis_168,gene_a24be4fc8ed8,0.45,low,ATP/GTP binding protein,aliphatic sulfonate ABC transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_c90955c97f3a,0.45,low,ATP/GTP binding protein,ABC transporter (ATP-binding protein) biofilm formation,0
Bacillus_subtilis_168,gene_eb58dbbbbb54,0.45,low,ATP/GTP binding protein,sn-glycerol-3-phosphate oxidase (FAD-dependent),0
Bacillus_subtilis_168,gene_19f765077db1,0.35,low,ATP/GTP binding protein,aldo/keto reductase specific for NADPH; protects against methylglyoxal,0
Bacillus_subtilis_168,gene_fbe4da60a74f,0.35,low,Lipoprotein,1-acylglycerol-phosphate (1-acyl-G3P) acyltransferase,0
Bacillus_subtilis_168,gene_709519372367,0.35,low,DNA-binding transcription regulator,subunit of fluoride efflux transporter,0
Bacillus_subtilis_168,gene_6b9707c70755,0.35,low,DNA-binding transcription regulator,small conductance mechano-sensitive channel,0
Bacillus_subtilis_168,gene_9e9386ac4329,0.35,low,ATP/GTP binding protein,negative regulator of the activity of sigma-M,0
Bacillus_subtilis_168,gene_5c0d0e82930f,0.35,low,DNA-binding transcription regulator,proton/potassium antiporter; methylglyoxal resistance,0
Bacillus_subtilis_168,gene_a4bfefc834e7,0.35,low,Serine protease,Na+-dependent exporter (ABC permease),0
Bacillus_subtilis_168,gene_7f4dcb429c1e,0.35,low,DNA-binding transcription regulator,branched-chain amino acid transporter or methylthioribose-degradation metabolite exporter,0
Bacillus_subtilis_168,gene_9dbdc3e8526a,0.35,low,ATP/GTP binding protein,efflux ABC transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_9255980048a5,0.35,low,Lipoprotein,molecular chaperone lipoprotein,1
Bacillus_subtilis_168,gene_4a6210b16289,0.35,low,DNA-binding transcription regulator,tryptophan transporter or sensor,0
Bacillus_subtilis_168,gene_230c57c90bbd,0.35,low,ATP/GTP binding protein,ABC transporter (ATP-binding protein),1
Bacillus_subtilis_168,gene_67bfa369bbd8,0.35,low,Lipoprotein,Na+/H+ antiporter,0
Bacillus_subtilis_168,gene_7e7a207b8374,0.35,low,ATP/GTP binding protein,Na+-dependent efflux ABC transporter (ATP-binding protein),0
Bacillus_subtilis_168,gene_5640ca613dc4,0.35,low,Lipoprotein,promiscuous protoporphyrinogen IX and coproporphyrinogen III oxidase,0
